Tornado,1454
Rocket,1006
Tesla,687
Knight,602
X,580
Ice Wizard,479
The Log,423
Baby Dragon,353
Bomb Tower,337
Skeletons,283
Balloon,280
Goblins,240
Miner,114
Mini P.E.K.K.A,37
Electro Giant,37
Executioner,28
Wall Breakers,20
Royal Delivery,11
Elixir Collector,10
Hog Rider,10
Furnace,8
Archer Queen,7
Elite Barbarians,6
Golem,6
Barbarians,6
Goblin Drill,5
P.E.K.K.A,5
Dart Goblin,5
Inferno Tower,4
Lava Hound,4
Mighty Miner,4
Golden Knight,3
Cannon,2
Sparky,2
Hunter,2
Goblin Gang,1
Goblin Giant,1
Goblin Hut,1
Electro Wizard,1
Witch,1
Mega Knight,1
Musketeer,1
Poison,1
Princess,1
Rascals,1
Skeleton Barrel,1
Guards,1
