Skeletons,584
Bomb Tower,552
Balloon,457
Musketeer,391
Inferno Tower,298
Lightning,290
Tesla,266
Electro Wizard,265
X,260
Arrows,250
Giant Snowball,243
Fireball,239
Ice Golem,237
Barbarian Barrel,234
Fire Spirit,197
Knight,195
Miner,195
Ice Spirit,157
The Log,157
Archers,139
Valkyrie,130
Executioner,28
Wall Breakers,25
Furnace,11
Elite Barbarians,10
Royal Delivery,10
Mini P.E.K.K.A,8
Golem,8
Electro Giant,8
Elixir Collector,8
Hog Rider,7
Guards,3
Golden Knight,3
Cannon,3
Minion Horde,3
Mother Witch,3
P.E.K.K.A,3
Barbarian Hut,2
Barbarians,2
Skeleton Dragons,2
Cannon Cart,2
Dart Goblin,2
Earthquake,2
Hunter,2
Goblin Drill,2
Goblins,2
Rocket,1
Skeleton Barrel,1
Phoenix,1
Mirror,1
Dark Prince,1
Firecracker,1
Inferno Dragon,1
Battle Ram,1
Sparky,1
Bandit,1
Witch,1
Wizard,1
Zap,1
