folder,f1_score,mse,deckPercent
4550_bc2s6c_lowest_360p,0.9508196721311476,0.10027855153203342,0.9860724233983287
NVKrMtcVqQ0_lowest_360p,0.9052631578947369,0.25164473684210525,0.9888888888888889
e6JXJbP42QU_lowest_360p,0.9841269841269841,0.048295454545454544,0.9971590909090909
WRpIgiPENV8_lowest_360p,0.9444444444444444,0.09647495361781076,0.9948979591836735
tS-sEYqbwdY_lowest_360p,0.8717948717948718,0.2765957446808511,0.9434235976789168
T-zBCK25TBE_lowest_360p,0.904109589041096,0.1446700507614213,0.9708121827411168
K09XkwOQjx4_lowest_360p,0.9824561403508771,0.022727272727272728,0.9971590909090909
bbMpl-33qIs_lowest_360p,0.9104477611940298,0.11842105263157894,0.9917763157894737
f-OJR5k8WGU_lowest_360p,0.9906542056074767,0.05592105263157895,0.9975328947368421
40E5D86hpwc_lowest_360p,0.9591836734693877,0.16501650165016502,0.9570957095709571
1Ypsj4FIobY_lowest_360p,0.9411764705882353,0.19548872180451127,0.9953007518796992
uUyd-Oaj3KY_lowest_360p,0.9411764705882353,0.03508771929824561,0.9929824561403509
u_2AETveuio_lowest_360p,0.9210526315789475,0.1089588377723971,0.9981840193704601
vdje1i-G_ao_lowest_360p,0.9690721649484536,0.07881773399014778,0.9922003284072249
7n0LYu5GXEw_lowest_360p,0.9777777777777777,0.022727272727272728,0.9992897727272727
olqSwWnqiy4_lowest_360p,0.9298245614035088,0.13344316309719934,0.9962932454695222
NLNGJEGv9Ag_lowest_360p,0.8983050847457628,0.14098360655737704,0.9983606557377049
YjWtDkfarWk_lowest_360p,0.972972972972973,0.09852216748768473,0.9987684729064039
b-d67FZM7Mk_lowest_360p,0.8958333333333333,0.22203947368421054,0.9967078189300411
vxJpJQ1WtKo_lowest_360p,0.8958333333333333,0.4972170686456401,0.9647495361781077
ezJK3NSRmz0_lowest_360p,0.967032967032967,0.030864197530864196,0.9979423868312757
Ww6WmQN4McI_lowest_360p,0.8196721311475409,0.3648960739030023,0.9705202312138729
aUYIDSDOg2g_lowest_360p,0.8992248062015504,0.1412151067323481,0.9844006568144499
35VgNKp4eJU_lowest_360p,0.5811965811965811,0.5868911605532171,0.5398376428141912
7JNIM9gauJM_lowest_360p,0.9777777777777777,0.024671052631578948,0.9925925925925926
g6qp2O21asI_lowest_360p,0.9193548387096774,0.24006622516556292,0.9950331125827815
30gj0lGe1q0_lowest_360p,0.9197080291970803,0.15359477124183007,0.9975490196078431
WE_bbDhKYKU_lowest_360p,0.9315068493150684,0.1186161449752883,0.9979406919275123
xl5Li1TYX4Q_lowest_360p,0.9066666666666667,0.16859504132231404,0.9512396694214876
k6tewxdWqVY_lowest_360p,0.9130434782608696,0.08717105263157894,0.9962993421052632
86gIJwlfLOQ_lowest_360p,0.9264705882352942,0.12335526315789473,0.9954769736842105
I-d2Lebj4SI_lowest_360p,0.8928571428571429,0.04788732394366197,0.9985915492957746
TdawH6FRvR0_lowest_360p,0.9739130434782608,0.09437386569872959,0.9941016333938294
fhfp5BBz_xg_lowest_360p,0.912621359223301,0.12191103789126853,0.9983525535420099
P1RttscqJoI_lowest_360p,0.7951807228915662,0.4931506849315068,0.9708904109589042
PibJ8rAH90M_lowest_360p,0.8760330578512396,0.21897810218978103,0.9662408759124088
9wg-WJ_s6L0_lowest_360p,0.4725274725274725,0.7958148383005708,0.5359860494610019
pOwlO1gx44U_lowest_360p,0.9315068493150686,0.05263157894736842,0.9983552631578947
IXWdX-1lzb4_lowest_360p,0.9090909090909091,0.10511363636363637,0.9985795454545454
ktUT0v_qnYk_lowest_360p,0.8837209302325583,0.183585313174946,0.9983801295896328
Po89y992F8Y_lowest_360p,0.968421052631579,0.10204081632653061,0.9938775510204082
u4j1C7DrOF0_lowest_360p,0.9285714285714286,0.22861842105263158,0.984375
Lb_Kova4Lt4_lowest_360p,0.41666666666666663,0.798941798941799,0.8743386243386243
F0vazNLa4zw_lowest_360p,0.993103448275862,0.04778156996587031,0.9978668941979523
hijFHvz8aIg_lowest_360p,0.923076923076923,0.18339100346020762,0.9948096885813149
yAUKqszzqr0_lowest_360p,0.8863636363636365,0.1928374655647383,0.977961432506887
4NRwwmgxs9Q_lowest_360p,0.9454545454545454,0.13031161473087818,0.9971671388101983
IEixuEK7ZNA_lowest_360p,0.9,0.2905982905982906,0.9572649572649573
rvyZVgo7g3g_lowest_360p,0.868217054263566,0.1664,0.95
t3qlSgZvEdM_lowest_360p,0.88,0.14175257731958762,0.927741935483871
r94famMdVrs_lowest_360p,0.9107142857142856,0.22937293729372937,0.9991749174917491
IfBJ7zmvPj8_lowest_360p,0.9795918367346939,0.02456140350877193,0.9991228070175439
xNrtZMa3160_lowest_360p,0.9752066115702478,0.05749128919860627,0.9973867595818815
uJyZS0hD8y8_lowest_360p,0.8571428571428571,0.5838926174496645,0.9794290512174643
HRkV-brg_XE_lowest_360p,0.9411764705882353,0.10833333333333334,0.997393117831074
bikAT1sPssM_lowest_360p,0.870967741935484,0.17105263157894737,0.9893092105263158
XKpwPZ95DuM_lowest_360p,0.9743589743589743,0.060755336617405585,0.9930213464696224
dqeaJWhx434_lowest_360p,0.8571428571428572,0.12411347517730496,0.9964539007092199
9g8XnCuO57Q_lowest_360p,0.9896907216494846,0.06469500924214418,0.9972273567467652
yVaRnS-5hRo_lowest_360p,0.8510638297872339,0.4942528735632184,0.9753694581280788
Kuqw8dXBsTI_lowest_360p,0.9160305343511451,0.2042833607907743,0.9905271828665568
H6VJCCBYokY_lowest_360p,0.9615384615384616,0.12030075187969924,0.9993734335839599
gAf4-8B5C6k_lowest_360p,0.95,0.05573770491803279,0.9979508196721312
-JKw0obk1OQ_lowest_360p,0.9411764705882353,0.27483443708609273,0.9983443708609272
EQ0ORRaTLuE_lowest_360p,0.8140350877192982,0.3048642533936652,0.7895927601809954
6jJKNTZi6fQ_lowest_360p,0.8983050847457628,0.13903743315508021,0.9986631016042781
9PJQovIxeGE_lowest_360p,0.8823529411764707,0.23076923076923078,0.975051975051975
arvgjZHTeb0_lowest_360p,0.9610389610389611,0.07954545454545454,0.9933649289099526
Gza6l1jDeVU_lowest_360p,0.88,0.3673805601317957,0.9971169686985173
OHlXSW-_gEE_lowest_360p,0.9195402298850576,0.037527593818984545,0.9955849889624724
Cepfjv4O1CM_lowest_360p,0.8080808080808081,0.7413509060955519,0.9551070840197694
ocnGqp78Bgo_lowest_360p,0.8918918918918919,0.09207708779443255,0.9973233404710921
vnAnnYa095g_lowest_360p,0.9285714285714286,0.049528301886792456,0.9911556603773585
obIcNqr56V0_lowest_360p,0.9473684210526316,0.16135084427767354,0.9948405253283302
ESvy-aP9Jxk_lowest_360p,0.9924812030075187,0.056896551724137934,0.9849137931034483
L3ZH9T6MqdA_lowest_360p,0.9767441860465117,0.13352272727272727,0.9950284090909091
z7cU1YuOpP0_lowest_360p,0.9310344827586207,0.18240343347639484,0.9989270386266095
iEZXPbvNd90_lowest_360p,0.449438202247191,0.5666892349356805,0.5252200406228842
wtPC6wbDwGU_lowest_360p,0.9174311926605505,0.10311284046692606,0.9722762645914397
KjoC1v_JyrA_lowest_360p,0.9158878504672898,0.28125,0.9983552631578947
-8bXmxSplt4_lowest_360p,1.0,0.010869565217391304,0.9952445652173914
EXORnXcui4M_lowest_360p,0.9494949494949494,0.058,0.994
1rtciICdhNM_lowest_360p,0.967741935483871,0.09659090909090909,0.9971590909090909
LqcYEQEdFiI_lowest_360p,0.9452054794520548,0.07768595041322314,0.9950413223140496
5VcIUFZ7VXQ_lowest_360p,0.9444444444444444,0.049342105263157895,0.9967105263157895
sPPKr3Ejcss_lowest_360p,0.9375,0.12520593080724876,0.9987644151565074
1VPZbBGXto8_lowest_360p,1.0,0.011363636363636364,0.9964488636363636
bzscXBuCsT4_lowest_360p,0.8125000000000001,0.5765124555160143,0.998220640569395
khyNgJ3I49o_lowest_360p,0.9545454545454546,0.056818181818181816,0.9964488636363636
k_q8cGNd7NI_lowest_360p,0.9421487603305785,0.10281923714759536,0.9946058091286307
NBYZ3zFmS6A_lowest_360p,0.9421487603305785,0.20689655172413793,0.9987684729064039
FC8Wde1hYvM_lowest_360p,0.9253731343283583,0.1638418079096045,0.9943502824858758
qZjsEEygMUk_lowest_360p,0.9,0.4028776978417266,0.9964028776978417
AkKNEpVtqKk_lowest_360p,0.8785046728971961,0.28429752066115704,0.9760330578512396
mJuY3apRQcs_lowest_360p,0.9541284403669724,0.042692939244663386,0.9963054187192119
TLomJ2UpyU8_lowest_360p,0.8396946564885496,0.22913256955810146,0.972176759410802
nR51ziv3EwA_lowest_360p,0.9024390243902439,0.36673773987206826,0.9984008528784648
Dq3hEJ7jiN4_lowest_360p,0.8852459016393442,0.048,0.998
i5YQIWFTyYk_lowest_360p,0.9285714285714285,0.19540229885057472,0.9958949096880131
p_pOF6FnNDI_lowest_360p,0.96875,0.07942973523421588,0.9969450101832994
