Knight,589
Hunter,580
Tornado,442
Ice Wizard,441
X,400
The Log,390
Royal Giant,390
Fireball,374
Skeletons,363
Royal Delivery,329
Electro Wizard,320
Earthquake,318
Fisherman,243
Rocket,231
Bomb Tower,214
Spear Goblins,213
Tesla,185
Miner,148
Wall Breakers,147
Electro Spirit,106
Bats,70
Executioner,21
Witch,21
P.E.K.K.A,19
Mini P.E.K.K.A,14
Zap,12
Firecracker,11
Dark Prince,9
Electro Giant,7
Three Musketeers,4
Giant,3
Rascals,3
Electro Dragon,2
Giant Skeleton,2
Bandit,2
Mega Minion,2
Archers,2
Goblin Drill,2
Goblin Hut,2
Skeleton Barrel,2
Guards,2
Royal Recruits,2
Night Witch,2
Rage,2
Prince,1
Skeleton Army,1
Ram Rider,1
Phoenix,1
Poison,1
Furnace,1
Elite Barbarians,1
Elixir Golem,1
Magic Archer,1
Golden Knight,1
Zappies,1
