Tornado,1459
Rocket,1007
Tesla,682
Knight,592
X,583
Ice Wizard,473
The Log,416
Baby Dragon,352
Bomb Tower,337
Skeletons,280
Balloon,258
Goblins,237
Miner,110
Firecracker,34
Furnace,31
Goblin Gang,30
Night Witch,19
Electro Wizard,17
Phoenix,13
Electro Giant,11
Dart Goblin,10
Giant Skeleton,10
Bats,8
Skeleton Dragons,6
Sparky,6
Graveyard,6
Inferno Dragon,6
Wall Breakers,5
Dark Prince,5
Fisherman,5
Goblin Hut,4
Flying Machine,4
Skeleton Barrel,4
Mega Minion,3
Skeleton King,3
Ice Spirit,3
Elixir Golem,3
Royal Recruits,3
Elite Barbarians,3
Princess,3
Elixir Collector,2
Cannon,2
Zappies,2
Arrows,2
Witch,2
Minions,2
Rascals,2
Mortar,2
Goblin Drill,1
Rage,1
Valkyrie,1
Bandit,1
Skeleton Army,1
Ram Rider,1
Poison,1
Prince,1
Golden Knight,1
Monk,1
Mighty Miner,1
Executioner,1
Mega Knight,1
Hunter,1
Lava Hound,1
