Skeletons,581
Bomb Tower,551
Balloon,438
Musketeer,386
Inferno Tower,298
Lightning,290
Electro Wizard,272
Tesla,266
X,263
Arrows,250
Giant Snowball,244
Fireball,238
Barbarian Barrel,236
Ice Golem,236
Fire Spirit,198
Knight,196
Miner,195
Ice Spirit,158
The Log,157
Archers,152
Valkyrie,90
Giant,28
Night Witch,19
Phoenix,19
Firecracker,18
Dart Goblin,10
Bats,10
Fisherman,9
Electro Giant,8
Mirror,7
Dark Prince,6
Mighty Miner,6
Ram Rider,6
Wall Breakers,5
Giant Skeleton,5
Inferno Dragon,5
Executioner,5
Elite Barbarians,4
Elixir Collector,4
Witch,3
Graveyard,3
Barbarians,3
Flying Machine,3
Elixir Golem,2
Mega Minion,2
Skeleton Dragons,2
Bandit,2
Royal Recruits,2
Royal Hogs,2
Rocket,2
Baby Dragon,1
Clone,1
Sparky,1
Minions,1
Goblin Giant,1
Goblin Hut,1
Golden Knight,1
Hunter,1
Rascals,1
Ice Wizard,1
Monk,1
Magic Archer,1
Zappies,1
